ID,Income,Kids,Teens,Age,Divorced,Married,Single,Together,Widow,Basic,Graduate,Master,PhD,State
1108,190765,0,0,50,0,1,0,0,0,0,1,0,0,State-Other
2242,190687,0,0,37,1,0,0,0,0,0,0,0,1,State-Other
2160,190638,0,0,29,0,0,1,0,0,0,0,1,0,State-Florida
2548,190638,0,0,29,0,0,1,0,0,0,0,1,0,State-Other
2783,190369,0,0,64,0,1,0,0,0,0,1,0,0,State-California
1374,190300,0,0,41,0,0,0,1,0,0,1,0,0,State-Florida
2697,190273,0,0,29,0,0,1,0,0,0,1,0,0,State-Texas
1684,190247,0,0,32,0,0,1,0,0,0,0,1,0,State-Other
2577,190226,0,0,64,0,1,0,0,0,0,0,1,0,State-Texas
3136,190000,0,0,36,0,1,0,0,0,0,1,0,0,State-Other
1710,189891,0,0,29,0,0,0,1,0,0,1,0,0,State-Florida
1715,189694,1,1,47,1,0,0,0,0,0,1,0,0,State-California
3158,189616,0,0,37,0,0,1,0,0,0,0,1,0,State-New York
1440,189572,0,0,54,0,0,1,0,0,0,0,0,0,State-Florida
1497,189120,0,0,61,0,0,0,1,0,0,0,1,0,State-Texas
1101,189058,0,0,60,0,1,0,0,0,0,0,1,0,State-Texas
2866,188420,0,0,31,0,0,0,1,0,0,0,1,0,State-Other
2056,188347,0,0,59,0,0,0,1,0,0,1,0,0,State-Other
3179,188325,0,0,39,0,0,0,1,0,0,1,0,0,State-California
1063,188194,0,1,41,0,0,1,0,0,0,0,0,0,State-Illinois
2314,188097,1,0,42,0,1,0,0,0,0,0,1,0,State-Other
1543,187771,0,1,61,0,0,0,1,0,0,1,0,0,State-Illinois
1805,187771,0,1,61,0,0,0,1,0,0,1,0,0,State-California
2468,187679,0,0,32,0,0,0,1,0,0,1,0,0,State-New York
1697,187305,0,0,60,1,0,0,0,0,0,0,0,0,State-California
1096,187195,0,0,61,0,1,0,0,0,0,1,0,0,State-Other
2496,187188,0,0,37,0,0,1,0,0,0,0,0,1,State-Florida
2057,187171,0,0,39,0,1,0,0,0,0,0,0,1,State-California
3055,187000,0,0,28,0,1,0,0,0,0,0,0,0,State-Illinois
2862,186979,0,0,49,1,0,0,0,0,0,0,0,1,State-Florida
1668,186857,0,0,48,0,0,1,0,0,0,0,0,1,State-Florida
1865,186857,0,0,48,0,0,1,0,0,0,0,0,1,State-California
2820,186836,0,0,45,0,1,0,0,0,0,0,0,1,State-Florida
1186,186718,0,0,66,0,1,0,0,0,0,1,0,0,State-Other
2646,186610,0,0,69,0,0,0,1,0,0,1,0,0,State-Florida
2672,186580,0,0,37,0,1,0,0,0,0,0,0,1,State-New York
1887,186429,0,0,59,0,0,1,0,0,0,1,0,0,State-Texas
1859,186424,0,0,64,0,0,1,0,0,0,0,1,0,State-California
2107,186358,1,1,54,0,0,1,0,0,0,1,0,0,State-Illinois
1132,186111,0,0,58,0,1,0,0,0,0,1,0,0,State-Other
1105,186037,0,0,29,0,0,1,0,0,0,1,0,0,State-Illinois
2071,185844,0,0,47,0,1,0,0,0,0,0,0,1,State-Illinois
2944,185738,0,0,42,0,0,0,1,0,0,0,1,0,State-Other
1840,185710,0,0,31,0,1,0,0,0,0,0,0,0,State-Other
2118,185696,0,0,58,1,0,0,0,0,0,0,0,1,State-Florida
2329,185696,0,0,58,1,0,0,0,0,0,0,0,1,State-Illinois
1094,185693,0,1,41,0,0,0,1,0,0,1,0,0,State-New York
1971,185683,0,0,66,1,0,0,0,0,0,1,0,0,State-Texas
1530,185620,0,0,56,0,0,0,0,1,0,1,0,0,State-Florida
2114,185606,0,1,44,0,0,0,1,0,0,1,0,0,State-New York
2250,185485,0,0,62,0,0,1,0,0,0,0,0,0,State-Florida
2748,185431,0,0,68,0,0,0,1,0,0,0,0,1,State-Florida
1886,185072,0,0,43,0,0,1,0,0,0,1,0,0,State-New York
2816,184953,0,0,67,0,0,0,0,1,0,0,1,0,State-New York
2218,184906,0,0,48,0,0,0,1,0,0,1,0,0,State-Other
3094,184906,0,0,48,0,0,0,1,0,0,1,0,0,State-Other
1414,184865,0,0,59,0,0,1,0,0,0,0,0,1,State-Other
1331,184835,0,0,50,1,0,0,0,0,0,1,0,0,State-California
1028,184618,0,0,55,0,1,0,0,0,0,0,0,1,State-New York
2187,184618,0,0,55,0,1,0,0,0,0,0,0,1,State-Texas
1619,184574,0,0,68,0,0,1,0,0,0,1,0,0,State-California
2068,184460,0,0,62,0,0,0,1,0,0,0,0,1,State-Other
1951,184219,0,0,32,0,1,0,0,0,0,1,0,0,State-Illinois
2486,184219,0,0,32,0,1,0,0,0,0,1,0,0,State-New York
1609,184196,0,1,45,0,0,1,0,0,0,1,0,0,State-Illinois
1527,184169,0,0,38,0,1,0,0,0,0,0,0,1,State-Texas
1898,184169,0,0,38,0,1,0,0,0,0,0,0,1,State-New York
3155,184117,0,0,64,0,1,0,0,0,0,0,0,1,State-California
1617,183917,0,0,47,0,0,1,0,0,0,1,0,0,State-Texas
2922,183891,0,1,46,0,1,0,0,0,0,0,1,0,State-Florida
1726,183844,0,0,68,0,0,0,1,0,0,1,0,0,State-Other
1988,183844,0,0,68,0,0,0,1,0,0,1,0,0,State-New York
2443,183844,0,0,68,0,0,0,1,0,0,1,0,0,State-Illinois
1165,183837,0,0,72,0,1,0,0,0,0,0,0,1,State-Illinois
2081,183829,0,0,45,1,0,0,0,0,0,1,0,0,State-California
2246,183829,0,0,45,1,0,0,0,0,0,1,0,0,State-New York
1205,183790,0,0,72,0,1,0,0,0,0,0,1,0,State-California
1956,183715,0,0,58,0,1,0,0,0,0,1,0,0,State-Florida
1373,183664,1,1,52,1,0,0,0,0,0,0,0,1,State-California
2047,183528,0,0,28,0,0,1,0,0,0,1,0,0,State-Illinois
2685,183512,0,0,34,0,1,0,0,0,0,1,0,0,State-Texas
1731,183443,0,0,48,0,0,0,1,0,0,0,0,1,State-Texas
3016,183273,1,2,50,0,0,1,0,0,0,1,0,0,State-Other
2825,183257,0,0,25,0,0,1,0,0,0,0,0,0,State-California
1468,183151,0,0,60,0,0,0,1,0,0,0,1,0,State-Other
2269,183151,0,0,48,0,1,0,0,0,0,0,1,0,State-Illinois
2134,183145,0,0,46,0,0,0,1,0,0,1,0,0,State-Other
1905,183033,1,0,34,0,0,0,1,0,0,1,0,0,State-Texas
1323,183003,0,0,55,0,0,0,1,0,0,1,0,0,State-Texas
1015,182800,0,0,74,0,0,1,0,0,0,0,0,1,State-Illinois
2546,182800,0,0,74,0,0,1,0,0,0,0,0,1,State-New York
2829,182733,0,0,36,0,0,1,0,0,0,0,0,1,State-Texas
1784,182716,0,0,76,0,0,1,0,0,0,0,0,1,State-New York
2420,182657,0,0,74,0,0,0,1,0,0,1,0,0,State-New York
1329,182623,0,0,68,1,0,0,0,0,0,1,0,0,State-Texas
1407,182584,0,0,46,0,1,0,0,0,0,0,1,0,State-Texas
1050,182582,0,0,43,1,0,0,0,0,0,1,0,0,State-Florida
1957,182576,0,0,61,0,0,0,1,0,0,0,1,0,State-Illinois
2698,182571,0,0,58,0,0,0,0,1,0,0,0,1,State-Other
1825,182504,0,0,60,0,1,0,0,0,0,0,0,0,State-Illinois
1279,182497,0,0,40,0,1,0,0,0,0,1,0,0,State-Illinois
2558,182460,0,0,70,1,0,0,0,0,0,1,0,0,State-New York
2708,182427,0,0,54,0,0,0,1,0,0,1,0,0,State-New York
1052,182384,0,0,65,0,0,0,1,0,0,0,1,0,State-New York
1833,182347,0,0,63,0,1,0,0,0,0,0,0,0,State-Texas
3161,182347,0,0,63,0,1,0,0,0,0,0,0,0,State-California
3096,182333,0,0,34,0,1,0,0,0,0,0,0,1,State-Florida
3078,182332,0,0,59,0,0,1,0,0,0,1,0,0,State-Florida
2844,182326,0,0,43,0,0,0,1,0,0,0,0,0,State-Florida
1725,182224,0,0,56,0,1,0,0,0,0,1,0,0,State-Texas
1967,182170,0,0,42,0,1,0,0,0,0,0,0,1,State-California
2767,182122,0,0,58,0,0,0,1,0,0,0,0,0,State-Illinois
1866,182072,0,0,50,0,0,0,1,0,0,0,0,1,State-Florida
2502,182032,0,0,72,0,0,0,0,1,0,0,0,1,State-Florida
3185,182032,0,0,72,0,0,0,0,1,0,0,0,1,State-California
1923,182025,0,0,37,1,0,0,0,0,0,1,0,0,State-Texas
1772,182017,0,0,63,0,1,0,0,0,0,0,0,1,State-New York
2627,182014,0,0,59,0,0,1,0,0,0,1,0,0,State-California
1219,181975,0,1,58,1,0,0,0,0,0,0,0,0,State-Illinois
3067,181929,1,0,44,0,1,0,0,0,0,0,1,0,State-Illinois
2300,181843,0,0,60,0,1,0,0,0,0,0,1,0,State-New York
2720,181795,0,0,68,0,1,0,0,0,0,1,0,0,State-New York
1545,181741,0,0,40,0,0,1,0,0,0,1,0,0,State-Texas
1818,181702,0,0,40,1,0,0,0,0,0,1,0,0,State-Florida
1538,181698,0,0,71,0,1,0,0,0,0,0,1,0,State-New York
2092,181698,0,0,37,0,0,1,0,0,0,0,0,0,State-Other
2150,181657,0,0,51,0,0,1,0,0,0,1,0,0,State-New York
2553,181574,0,0,73,0,0,0,1,0,0,0,0,1,State-Texas
3144,181380,0,0,53,1,0,0,0,0,0,0,1,0,State-Florida
1079,181361,0,0,33,1,0,0,0,0,0,1,0,0,State-California
2560,181361,0,0,33,1,0,0,0,0,0,1,0,0,State-Other
1881,181320,0,0,62,0,1,0,0,0,0,1,0,0,State-Texas
1658,181300,0,1,57,0,1,0,0,0,0,0,0,1,State-New York
1431,181246,0,0,56,0,0,1,0,0,0,1,0,0,State-Texas
1491,181217,0,0,31,0,0,1,0,0,0,1,0,0,State-Texas
2664,181217,0,0,31,0,0,1,0,0,0,1,0,0,State-Florida
1826,181205,0,0,50,0,0,0,1,0,0,1,0,0,State-New York
1499,181169,0,0,45,0,0,1,0,0,0,0,1,0,State-California
1593,181168,0,0,55,0,1,0,0,0,0,1,0,0,State-Texas
2287,181051,0,0,55,0,1,0,0,0,0,0,0,1,State-Illinois
3024,181044,0,0,73,0,1,0,0,0,0,0,0,0,State-Florida
1809,180995,0,1,62,0,0,0,0,1,0,0,0,1,State-Texas
2899,180982,1,1,61,0,0,1,0,0,0,1,0,0,State-Illinois
1734,180952,0,0,51,0,1,0,0,0,0,1,0,0,State-Florida
1292,180950,0,0,59,0,1,0,0,0,0,0,1,0,State-New York
2078,180910,0,0,34,0,0,1,0,0,0,0,0,0,State-New York
2927,180872,0,0,69,0,0,1,0,0,0,1,0,0,State-California
1856,180812,0,0,67,0,0,0,1,0,0,1,0,0,State-New York
1965,180763,0,0,70,0,1,0,0,0,0,1,0,0,State-Texas
2803,180739,0,0,62,0,1,0,0,0,0,0,1,0,State-Illinois
2338,180695,0,0,57,0,0,1,0,0,0,1,0,0,State-Other
2144,180685,0,0,26,0,0,0,1,0,0,1,0,0,State-New York
3181,180617,0,0,25,0,0,1,0,0,0,0,0,0,State-Illinois
2389,180589,0,0,76,0,1,0,0,0,0,1,0,0,State-Illinois
1955,180573,0,0,49,0,0,0,1,0,0,0,1,0,State-California
2887,180573,0,0,49,0,0,0,1,0,0,0,1,0,State-Illinois
1164,180427,0,1,45,0,1,0,0,0,0,0,0,1,State-Florida
2688,180398,0,0,54,0,1,0,0,0,0,1,0,0,State-Florida
1707,180395,0,0,65,0,1,0,0,0,0,1,0,0,State-Texas
2724,180360,0,0,71,0,1,0,0,0,0,0,0,1,State-Florida
2811,180336,0,0,50,0,1,0,0,0,0,0,0,1,State-Texas
1149,180317,0,0,65,0,0,1,0,0,0,1,0,0,State-Texas
1503,180184,0,0,76,0,1,0,0,0,0,0,1,0,State-Texas
3065,180144,0,0,45,0,0,0,1,0,0,1,0,0,State-California
2647,180141,0,0,34,0,1,0,0,0,0,0,1,0,State-Illinois
1233,180134,1,0,48,0,1,0,0,0,0,1,0,0,State-Texas
2387,180134,1,0,48,0,1,0,0,0,0,1,0,0,State-California
1401,180134,0,0,26,0,0,0,1,0,0,1,0,0,State-Texas
1253,180124,0,0,57,0,1,0,0,0,0,1,0,0,State-California
1447,180124,0,0,57,0,1,0,0,0,0,1,0,0,State-Illinois
1185,180067,0,0,66,0,1,0,0,0,0,1,0,0,State-Texas
1039,180011,0,1,40,0,1,0,0,0,0,1,0,0,State-Illinois
1275,179946,0,0,54,0,0,0,0,1,0,1,0,0,State-Texas
1043,179941,0,0,44,0,0,1,0,0,0,1,0,0,State-California
1216,179930,0,0,48,0,1,0,0,0,0,0,0,1,State-Other
1541,179908,0,0,38,0,1,0,0,0,0,1,0,0,State-California
2539,179865,0,1,66,1,0,0,0,0,0,1,0,0,State-Illinois
3056,179823,0,1,61,0,1,0,0,0,0,1,0,0,State-New York
2077,179803,0,1,62,1,0,0,0,0,0,1,0,0,State-Illinois
1570,179800,0,0,65,0,0,0,0,1,0,1,0,0,State-Other
1225,179761,0,1,62,0,0,1,0,0,0,0,0,1,State-Illinois
2787,179734,0,0,51,0,1,0,0,0,0,0,1,0,State-Texas
1969,179689,0,0,44,0,0,1,0,0,0,0,0,0,State-Illinois
1911,179632,0,0,46,0,0,0,1,0,0,0,0,1,State-Texas
1118,179607,0,0,36,0,0,1,0,0,0,1,0,0,State-New York
1083,179593,0,0,47,0,1,0,0,0,0,1,0,0,State-Texas
2015,179593,0,0,47,0,1,0,0,0,0,1,0,0,State-California
1350,179530,0,0,60,0,1,0,0,0,0,1,0,0,State-Florida
2489,179529,0,0,34,0,1,0,0,0,0,1,0,0,State-California
2063,179456,0,0,64,0,1,0,0,0,0,1,0,0,State-California
2462,179419,0,0,50,0,0,0,1,0,0,0,1,0,State-New York
2139,179410,0,0,59,0,1,0,0,0,0,1,0,0,State-Texas
3062,179244,0,0,27,0,0,1,0,0,0,1,0,0,State-New York
2971,179205,0,0,45,0,1,0,0,0,0,1,0,0,State-Illinois
3143,179174,0,0,45,0,1,0,0,0,0,0,0,1,State-California
1742,179146,1,1,53,0,0,1,0,0,0,1,0,0,State-New York
2711,179146,1,1,53,0,0,1,0,0,0,1,0,0,State-California
1048,179143,0,0,56,0,1,0,0,0,0,0,1,0,State-Other
1474,178952,0,1,62,0,0,0,1,0,0,0,0,1,State-Other
1752,178939,0,0,69,0,1,0,0,0,0,0,0,1,State-Florida
2484,178931,0,0,49,0,1,0,0,0,0,0,0,1,State-Florida
1681,178901,0,1,47,1,0,0,0,0,0,1,0,0,State-Illinois
1469,178825,0,0,56,1,0,0,0,0,0,0,0,1,State-California
2661,178789,0,0,40,1,0,0,0,0,0,0,1,0,State-Texas
1631,178710,0,1,43,0,1,0,0,0,0,0,1,0,State-California
2261,178687,0,0,37,0,0,0,1,0,0,1,0,0,State-California
1481,178642,0,1,49,0,0,0,1,0,0,0,0,1,State-California
1344,178618,0,0,63,0,1,0,0,0,0,1,0,0,State-Florida
2171,178579,0,0,50,1,0,0,0,0,0,0,1,0,State-California
2279,178569,0,0,74,0,1,0,0,0,0,1,0,0,State-California
3113,178499,0,0,63,0,0,1,0,0,0,1,0,0,State-California
1090,178497,0,0,69,0,1,0,0,0,0,0,0,0,State-Other
1168,178497,0,0,69,0,1,0,0,0,0,0,0,0,State-Other
1680,178468,0,0,60,0,0,0,1,0,0,1,0,0,State-Florida
2419,178427,0,0,72,0,0,0,0,1,0,0,1,0,State-Illinois
1891,178420,0,0,54,0,0,1,0,0,0,0,0,1,State-Illinois
2775,178416,0,1,44,0,0,0,1,0,0,1,0,0,State-Texas
2802,178394,0,0,34,0,0,0,1,0,0,1,0,0,State-Florida
1806,178353,0,1,61,1,0,0,0,0,0,0,0,0,State-Florida
1878,178331,0,1,62,1,0,0,0,0,0,1,0,0,State-Florida
1743,178285,0,0,32,0,1,0,0,0,0,0,1,0,State-Texas
3072,178128,0,1,46,0,1,0,0,0,0,0,0,1,State-Florida
2557,178093,0,0,73,0,0,0,1,0,0,0,1,0,State-Illinois
2179,178075,0,0,48,0,1,0,0,0,0,0,0,1,State-Illinois
2422,178041,0,0,49,0,1,0,0,0,0,0,0,0,State-Other
1981,178028,0,1,64,0,0,0,0,1,0,0,0,1,State-Illinois
2734,177981,1,0,48,0,1,0,0,0,0,1,0,0,State-Other
1199,177972,0,0,66,0,0,0,1,0,0,1,0,0,State-California
1264,177882,0,0,39,0,0,0,1,0,0,0,1,0,State-Other
2888,177870,0,1,53,0,1,0,0,0,0,1,0,0,State-New York
1510,177863,0,0,62,0,0,0,1,0,0,0,0,1,State-Other
1669,177845,0,0,31,0,0,0,1,0,0,0,0,1,State-Illinois
2233,177766,0,1,53,0,1,0,0,0,0,0,0,1,State-Illinois
2644,177766,0,1,53,0,1,0,0,0,0,0,0,1,State-Other
1627,177632,0,0,73,0,0,0,1,0,0,0,1,0,State-Illinois
1210,177622,0,2,50,0,0,0,1,0,0,0,0,1,State-Other
3040,177610,0,1,68,0,1,0,0,0,0,0,0,1,State-Other
2898,177598,0,0,77,0,0,1,0,0,0,0,1,0,State-Florida
1907,177583,0,0,42,0,1,0,0,0,0,1,0,0,State-California
1991,177568,0,1,41,0,0,0,1,0,0,1,0,0,State-California
2686,177520,0,1,61,0,1,0,0,0,0,0,1,0,State-Other
1294,177457,0,0,73,0,0,1,0,0,0,1,0,0,State-Other
2712,177437,0,0,57,0,1,0,0,0,0,1,0,0,State-Florida
2302,177382,0,1,52,0,0,0,1,0,0,1,0,0,State-Other
1120,177376,1,1,64,0,0,0,1,0,0,0,0,1,State-Other
1655,177353,0,1,40,0,1,0,0,0,0,1,0,0,State-California
2427,177343,0,0,55,0,1,0,0,0,0,1,0,0,State-Texas
1102,177298,0,1,41,0,0,0,1,0,0,1,0,0,State-Other
2764,177298,0,1,41,0,0,0,1,0,0,1,0,0,State-Other
2203,177297,0,0,63,1,0,0,0,0,0,0,0,0,State-Illinois
2942,177226,0,1,57,0,0,0,1,0,0,1,0,0,State-New York
2149,177142,0,0,72,0,1,0,0,0,0,1,0,0,State-Illinois
2193,177044,0,1,48,0,0,0,1,0,0,1,0,0,State-Texas
2028,177037,0,1,60,0,1,0,0,0,0,0,0,1,State-Florida
2998,177027,0,1,68,0,1,0,0,0,0,0,1,0,State-Other
2464,176998,0,1,65,0,1,0,0,0,0,1,0,0,State-Other
1018,176995,0,1,71,0,1,0,0,0,0,0,1,0,State-Other
1521,176982,0,0,53,1,0,0,0,0,0,1,0,0,State-Texas
2930,176842,0,0,70,0,0,0,0,1,0,0,0,1,State-New York
2527,176800,0,0,55,0,1,0,0,0,0,0,0,0,State-Illinois
2091,176773,0,0,66,1,0,0,0,0,0,1,0,0,State-Texas
2240,176653,0,0,51,0,0,0,1,0,0,1,0,0,State-New York
1873,176630,0,0,37,0,1,0,0,0,0,1,0,0,State-Illinois
2223,176624,0,1,58,0,0,1,0,0,0,1,0,0,State-Texas
1696,176618,0,0,45,0,1,0,0,0,0,0,0,1,State-Other
2330,176542,0,0,64,0,0,0,1,0,0,0,0,1,State-New York
2863,176532,1,1,45,0,0,0,1,0,0,1,0,0,State-Illinois
3023,176467,1,0,50,0,0,1,0,0,0,1,0,0,State-California
2574,176445,1,0,49,0,1,0,0,0,0,1,0,0,State-Florida
1801,176412,0,0,40,0,0,1,0,0,0,0,0,1,State-Illinois
3027,176320,0,1,61,0,0,0,0,1,0,1,0,0,State-Texas
3154,176234,0,1,48,0,1,0,0,0,0,0,1,0,State-Other
1624,176140,0,0,72,0,0,0,1,0,0,0,0,1,State-Other
2024,176081,0,0,58,0,0,0,1,0,0,1,0,0,State-New York
2529,176081,0,0,58,0,0,0,1,0,0,1,0,0,State-Texas
3068,176068,0,1,45,0,1,0,0,0,0,1,0,0,State-New York
2086,176045,0,0,60,0,0,1,0,0,0,0,0,1,State-Other
1476,176005,0,0,65,0,0,0,1,0,0,1,0,0,State-Florida
1189,175922,0,0,52,0,0,1,0,0,0,1,0,0,State-Illinois
2909,175903,0,1,69,0,1,0,0,0,0,1,0,0,State-California
1399,175865,0,0,77,0,1,0,0,0,0,0,0,1,State-Illinois
1072,175825,0,0,44,0,0,1,0,0,0,1,0,0,State-Other
2565,175794,0,0,33,0,1,0,0,0,0,1,0,0,State-Texas
1056,175777,0,0,38,0,0,1,0,0,0,0,1,0,State-Florida
3189,175777,0,0,38,0,0,1,0,0,0,0,1,0,State-Texas
2620,175774,1,0,39,0,0,0,1,0,0,0,0,0,State-Other
2774,175774,1,0,39,0,0,0,1,0,0,0,0,0,State-New York
1968,175759,0,0,51,0,1,0,0,0,0,1,0,0,State-Florida
1241,175702,1,1,53,0,0,0,1,0,0,1,0,0,State-California
2776,175702,0,1,46,0,0,0,1,0,0,1,0,0,State-Other
1321,175693,0,0,52,1,0,0,0,0,0,1,0,0,State-Illinois
1735,175507,0,0,41,0,0,0,1,0,0,1,0,0,State-Illinois
2365,175507,0,0,41,0,0,0,1,0,0,1,0,0,State-Illinois
2460,175484,0,1,44,0,0,0,1,0,0,0,0,0,State-Florida
1977,175437,0,0,42,0,0,0,1,0,0,1,0,0,State-Texas
1411,175433,1,0,31,0,1,0,0,0,0,1,0,0,State-Illinois
2065,175345,0,0,50,0,0,1,0,0,0,0,1,0,State-Illinois
2709,175342,0,1,62,0,0,1,0,0,0,0,0,0,State-Texas
3011,175330,1,1,43,0,1,0,0,0,0,1,0,0,State-California
2543,175315,0,1,66,0,0,0,1,0,0,1,0,0,State-California
2545,175283,1,2,63,0,1,0,0,0,0,0,0,1,State-Illinois
1273,175278,0,0,68,0,0,0,1,0,0,1,0,0,State-Illinois
1385,175276,0,0,55,0,0,0,1,0,0,1,0,0,State-California
1450,175261,0,0,65,0,0,0,1,0,0,0,0,1,State-Other
1071,175251,0,0,48,0,1,0,0,0,0,0,1,0,State-Texas
1417,175236,0,1,56,0,1,0,0,0,0,1,0,0,State-Illinois
2345,175154,0,1,62,0,0,1,0,0,0,0,1,0,State-California
1745,175127,0,0,68,0,0,1,0,0,0,1,0,0,State-California
1915,175127,0,0,68,0,0,1,0,0,0,1,0,0,State-Illinois
1892,175114,0,0,28,0,0,0,1,0,0,1,0,0,State-New York
1398,175072,0,1,58,0,0,0,1,0,0,1,0,0,State-Florida
2206,175032,0,1,61,0,1,0,0,0,0,0,0,1,State-Other
1234,175027,0,1,67,0,1,0,0,0,0,1,0,0,State-Other
1708,175012,0,0,44,1,0,0,0,0,0,0,1,0,State-Other
1747,174985,0,0,43,0,1,0,0,0,0,1,0,0,State-Illinois
2194,174918,0,0,51,0,0,0,1,0,0,1,0,0,State-Other
2517,174881,1,1,59,0,0,0,1,0,0,0,1,0,State-Texas
2703,174881,1,1,59,0,0,0,1,0,0,0,1,0,State-Texas
3131,174859,0,0,71,0,0,0,0,1,0,0,0,0,State-California
1065,174854,1,2,50,0,0,0,1,0,0,1,0,0,State-Texas
1701,174806,0,1,55,0,1,0,0,0,0,0,1,0,State-Texas
2293,174805,0,1,65,0,0,0,1,0,0,0,0,0,State-Illinois
2234,174716,0,1,48,0,1,0,0,0,0,1,0,0,State-New York
1900,174637,0,0,66,0,0,1,0,0,0,0,0,1,State-Other
2011,174538,0,0,49,0,0,0,1,0,0,1,0,0,State-Illinois
2940,174485,0,0,73,0,0,0,1,0,0,1,0,0,State-Florida
1376,174293,0,0,27,0,0,1,0,0,0,1,0,0,State-New York
1909,174293,0,0,27,0,0,1,0,0,0,1,0,0,State-Illinois
2830,174290,0,1,49,1,0,0,0,0,0,0,1,0,State-Other
2567,174268,0,0,65,0,1,0,0,0,0,1,0,0,State-California
1758,174250,0,0,62,0,0,0,1,0,0,0,0,1,State-Florida
2153,174214,0,0,30,0,1,0,0,0,0,0,0,1,State-California
2238,174190,0,1,45,0,1,0,0,0,0,1,0,0,State-Florida
1153,174165,0,0,45,1,0,0,0,0,0,0,0,1,State-Illinois
1908,174116,0,0,38,0,0,1,0,0,0,0,0,0,State-Florida
1177,174068,0,0,44,0,1,0,0,0,0,1,0,0,State-Illinois
2504,174004,0,0,33,0,0,1,0,0,0,0,0,1,State-New York
1779,173926,0,0,47,0,0,0,1,0,0,1,0,0,State-Texas
2428,173892,0,0,67,0,0,1,0,0,0,1,0,0,State-Other
3171,173807,0,1,42,0,1,0,0,0,0,1,0,0,State-Texas
3162,173803,0,1,63,0,1,0,0,0,0,1,0,0,State-Florida
2674,173705,0,2,69,0,0,0,0,1,0,0,1,0,State-Other
1622,173691,0,1,49,0,1,0,0,0,0,1,0,0,State-New York
1230,173687,0,0,30,0,1,0,0,0,0,1,0,0,State-Florida
2488,173538,0,1,55,0,1,0,0,0,0,1,0,0,State-Other
1227,173455,0,0,52,0,0,0,0,1,0,1,0,0,State-Texas
1505,173454,0,0,33,0,0,1,0,0,0,0,1,0,State-California
2243,173450,0,0,38,0,0,0,1,0,0,0,1,0,State-California
1123,173448,0,0,51,0,1,0,0,0,0,1,0,0,State-Illinois
2877,173395,0,0,33,0,1,0,0,0,0,0,1,0,State-Texas
2915,173356,0,0,36,0,1,0,0,0,0,0,0,1,State-California
1793,173170,0,0,45,0,0,1,0,0,0,1,0,0,State-California
1897,173113,0,0,60,0,0,0,1,0,0,0,1,0,State-Illinois
1640,173059,0,1,73,0,0,0,1,0,0,0,0,1,State-New York
2606,173059,0,1,73,0,0,0,1,0,0,0,0,1,State-New York
