ID,Recency,Teas,Fruits,Meats,Seafood,Sweets,Premium,Regular,Deals,Website,Catalog,Store,Visits
2803,92,1509,206,1648,87,0,206,3244,1,3,11,9,1
2488,92,1914,179,1010,234,323,253,3408,3,10,4,9,7
1453,92,1936,24,503,33,24,176,2345,3,7,3,12,7
2595,92,2472,0,219,35,26,575,2177,7,9,6,9,8
2274,91,13,0,17,0,3,17,17,1,1,0,2,7
2049,91,16,11,38,0,22,11,77,1,1,0,2,8
1457,91,79,4,47,14,0,14,130,2,1,0,3,7
2512,91,106,0,83,24,0,47,165,1,1,1,2,8
2027,91,119,44,131,52,24,115,255,1,2,0,4,4
1749,91,135,38,72,91,47,191,191,1,2,1,4,4
2177,91,135,38,72,91,47,191,191,1,2,1,4,4
2072,91,242,28,64,67,28,43,387,2,2,1,4,5
1152,91,281,16,260,37,21,27,589,4,3,0,4,8
1433,91,581,20,229,84,184,98,1001,2,3,2,9,3
2129,91,956,8,107,0,0,52,1019,2,9,1,4,8
2793,91,1101,27,260,36,42,101,1364,3,6,2,8,5
3136,91,1425,304,281,198,405,509,2105,1,4,8,5,1
2758,91,1570,41,409,82,63,41,2123,2,11,2,10,7
2240,91,1696,145,2180,505,436,290,4671,1,4,7,11,2
2330,91,1831,168,1322,0,67,32,3356,1,4,8,10,2
3218,91,2257,119,539,80,30,60,2965,1,2,3,-10,6
1018,91,2326,184,1145,0,37,405,3287,2,11,4,9,5
3203,91,2502,132,598,88,33,66,3287,1,2,3,13,6
1333,90,36,0,12,0,0,16,32,1,1,0,2,6
2817,90,38,14,89,0,9,14,136,2,2,0,3,6
2707,90,66,7,37,0,0,92,18,1,1,1,2,7
3064,90,79,3,31,6,0,3,116,1,1,0,3,5
1166,90,104,0,50,0,0,7,147,2,2,0,3,7
1673,90,225,50,269,57,37,269,370,3,1,4,4,3
1397,90,266,138,169,319,244,19,1118,3,5,1,7,7
1746,90,421,9,116,12,0,180,378,3,3,2,4,6
1595,90,522,81,171,52,0,32,793,1,3,1,7,3
1439,90,585,86,367,43,11,150,941,7,5,1,6,8
2225,90,701,42,558,55,55,208,1204,4,6,2,4,8
1702,90,1410,0,361,75,75,417,1505,1,11,1,8,7
2984,90,1413,35,285,25,35,88,1706,3,8,2,10,5
1758,90,1596,26,920,176,0,0,2718,1,2,11,4,1
2262,90,1882,164,726,301,298,361,3009,2,9,7,10,7
1065,90,2000,138,1138,135,68,171,3308,7,2,5,5,5
2872,90,2142,65,903,130,132,166,3206,1,4,6,4,1
1235,90,2143,332,1905,372,94,427,4420,1,4,10,5,3
2865,90,2143,332,1905,372,94,427,4420,1,4,10,5,3
3128,90,2676,79,1054,159,122,404,3686,3,9,10,4,6
1797,89,30,8,17,8,4,17,51,1,1,0,2,6
2265,89,33,108,367,626,231,677,687,2,4,2,5,7
1025,89,38,26,159,96,77,83,313,2,2,1,3,7
2531,89,44,4,22,0,4,18,55,2,1,0,3,7
2992,89,55,5,73,18,5,14,142,3,2,0,3,8
1289,89,117,0,145,13,9,0,284,1,2,1,3,4
2351,89,152,12,72,12,21,3,265,2,2,0,4,6
2636,89,197,89,317,128,0,162,568,4,5,1,3,9
2832,89,207,23,104,35,12,104,276,1,2,0,4,7
2966,89,299,53,95,46,46,74,464,2,3,1,4,7
1422,89,408,0,62,8,4,21,462,3,2,1,4,7
2296,89,535,141,228,185,31,281,838,4,3,2,8,4
1731,89,1139,92,1631,121,123,185,2922,1,6,10,5,2
1222,89,1458,54,1204,73,26,83,2731,3,7,8,11,5
2114,89,1555,91,1873,475,65,182,3877,2,6,7,9,3
2767,89,1628,49,776,335,55,222,2621,1,3,9,13,1
3078,89,1838,131,2144,113,175,42,4358,1,5,3,12,2
3072,89,2129,55,524,36,55,82,2718,2,8,4,6,3
2854,89,2531,148,819,145,111,111,3643,3,5,5,13,8
2553,89,2787,0,1035,102,78,0,4002,1,4,5,8,1
3183,88,15,7,19,0,0,19,22,1,1,0,2,6
1194,88,31,26,57,31,26,61,109,1,1,0,3,9
1646,88,31,8,86,47,16,16,172,1,1,0,3,6
1040,88,76,6,170,18,0,41,229,2,2,0,3,8
2421,88,290,79,299,82,141,18,872,1,2,2,8,1
2659,88,620,21,124,9,6,139,641,2,4,2,5,5
1599,88,684,41,277,54,54,76,1034,5,6,2,5,7
2320,88,821,0,63,12,18,45,869,1,5,1,6,6
1274,88,845,83,717,163,338,400,1746,13,6,2,12,5
1479,88,850,67,711,67,51,32,1714,3,5,3,11,5
3171,88,862,292,367,167,184,127,1745,2,5,5,11,2
2483,88,1098,326,593,618,474,179,2931,6,11,8,5,8
1068,88,1497,16,172,0,16,50,1651,5,9,2,8,7
2118,88,1547,165,856,251,0,26,2793,1,4,6,9,1
2329,88,1547,165,856,251,0,26,2793,1,4,6,9,1
1688,88,1780,20,139,53,20,99,1913,2,9,3,6,8
2112,87,29,5,10,10,0,19,34,1,1,0,2,7
1534,87,53,14,35,11,14,64,64,2,1,1,3,3
1077,87,131,26,100,37,0,121,173,3,3,0,3,7
2002,87,172,5,108,0,0,0,285,1,2,0,3,8
1075,87,279,17,296,31,22,74,571,4,3,1,4,8
2751,87,279,17,296,31,22,74,571,4,3,1,4,8
1638,87,292,8,74,5,16,39,355,2,3,1,4,6
2432,87,301,10,172,7,3,103,391,3,4,0,4,8
1437,87,340,169,256,174,46,55,929,2,4,2,8,3
1117,87,389,79,297,96,67,413,516,2,3,4,7,1
1946,87,557,302,642,20,167,370,1317,3,5,2,11,4
1867,87,598,6,174,0,16,38,756,4,6,1,4,9
2670,87,633,341,565,221,16,68,1708,2,3,3,13,2
1653,87,879,24,328,51,38,223,1097,5,5,2,9,6
1431,87,888,424,1198,136,348,83,2911,1,4,5,7,1
3194,87,1174,13,272,39,44,136,1405,8,11,1,6,8
1644,87,1208,144,578,282,266,410,2068,1,6,4,13,4
1733,87,1208,144,578,282,266,410,2068,1,6,4,13,4
3209,87,1254,14,291,41,47,145,1501,8,11,1,6,8
1666,87,1424,81,1096,71,81,136,2616,1,2,8,6,1
2039,87,1505,67,1171,72,33,134,2714,1,6,7,8,3
2186,87,1611,39,252,24,18,86,1857,3,10,4,5,8
1789,87,1667,142,476,62,45,356,2036,7,3,2,8,8
1344,87,1672,370,1858,482,370,139,4614,1,4,7,10,2
2866,87,2039,326,1304,211,202,326,3757,1,4,7,8,1
2776,87,2490,0,1460,337,86,86,4287,1,10,5,13,6
1019,86,16,67,75,119,95,154,218,2,2,1,3,6
2626,86,16,5,44,125,11,98,104,3,2,1,3,3
1297,86,27,45,125,18,107,152,170,4,3,1,3,6
1756,86,44,0,10,0,0,0,55,1,1,0,2,7
2306,86,50,35,126,30,15,35,222,1,3,0,3,7
2969,86,50,17,75,17,8,42,125,2,1,0,3,8
1925,86,54,54,108,54,123,116,278,3,2,1,3,7
2167,86,78,7,65,7,7,33,130,2,1,0,4,4
2212,86,83,0,40,7,4,11,123,1,1,0,3,5
2470,86,84,11,114,0,19,57,171,2,2,0,4,6
1301,86,107,0,31,0,0,4,134,2,2,0,3,5
1359,86,181,0,86,0,0,114,152,4,3,2,2,8
2487,86,181,0,86,0,0,114,152,4,3,2,2,8
2509,86,181,0,86,0,0,114,152,4,3,2,2,8
1740,86,272,0,25,0,0,57,240,1,3,2,2,5
1377,86,302,27,187,6,27,71,477,1,4,1,4,6
2746,86,302,27,187,6,27,71,477,1,4,1,4,6
1641,86,314,3,122,19,3,239,223,4,3,2,3,6
3092,86,507,207,282,391,60,659,789,4,5,2,12,5
2864,86,591,34,371,182,20,91,1107,2,6,3,4,6
1452,86,958,120,363,80,14,14,1521,3,7,2,8,6
2818,86,960,163,1007,91,141,210,2152,1,4,4,6,2
1761,86,988,29,1310,187,437,0,2951,1,4,4,10,1
2674,86,1442,214,1226,608,252,252,3490,2,9,6,8,5
1262,86,1567,18,248,25,55,18,1896,2,6,3,12,4
1897,86,1754,45,365,118,21,66,2238,1,3,4,7,2
2826,85,11,5,22,16,5,11,49,1,1,0,2,8
2372,85,39,0,11,0,0,4,46,1,1,0,2,6
1110,85,51,21,106,0,38,128,89,2,1,1,3,5
2777,85,362,0,27,0,11,97,303,2,3,1,4,5
1563,85,411,37,130,48,6,11,620,6,4,2,4,7
3044,85,440,426,426,246,93,79,1552,1,6,3,10,3
1249,85,545,7,202,78,42,23,852,4,4,1,6,5
2024,85,676,69,960,146,76,463,1465,1,4,5,4,2
2529,85,676,69,960,146,76,463,1465,1,4,5,4,2
2338,85,1247,289,2203,432,83,40,4214,1,5,8,5,2
1478,85,1410,36,367,22,0,73,1763,1,9,4,6,7
1294,85,1546,25,916,34,103,25,2600,1,2,5,10,1
2678,85,1640,0,183,0,0,37,1786,6,8,2,9,5
1955,85,1858,309,964,134,206,34,3438,1,4,6,13,2
2887,85,1858,309,964,134,206,34,3438,1,4,6,13,2
2243,85,2697,120,980,213,163,87,4085,1,7,8,11,3
2464,85,3331,205,370,159,80,246,3899,2,11,8,8,6
2388,84,17,3,23,7,3,13,40,1,1,0,2,7
2310,84,28,23,79,14,112,215,42,2,2,2,2,7
2268,84,69,6,31,19,13,107,31,2,1,2,2,4
1158,84,72,48,92,39,82,97,237,3,2,1,3,5
1978,84,72,48,92,39,82,97,237,3,2,1,3,5
1935,84,95,0,25,6,0,44,82,1,1,1,2,6
1086,84,141,10,73,0,0,0,225,3,3,1,3,5
2656,84,155,18,101,25,22,119,202,4,3,1,3,5
2831,84,185,3,35,8,14,35,209,1,2,0,4,6
1944,84,279,14,160,0,59,7,505,5,2,1,5,6
1665,84,414,21,293,21,21,146,624,2,3,1,6,5
3147,84,414,21,293,21,21,146,624,2,3,1,6,5
2040,84,833,69,699,456,134,134,2058,1,2,8,6,1
1214,84,875,21,233,0,32,536,625,2,8,2,4,8
1268,84,875,21,233,0,32,536,625,2,8,2,4,8
1593,84,915,0,1321,328,49,49,2565,1,6,4,7,3
2203,84,936,140,250,110,280,94,1622,1,5,7,9,4
2799,84,1066,49,700,302,546,674,1989,2,9,5,9,7
2125,84,1311,320,642,129,98,346,2154,1,6,5,13,3
2461,84,1339,61,344,157,162,19,2043,3,6,3,13,4
2408,84,1442,44,246,229,306,87,2178,1,6,5,11,2
2492,84,1886,0,237,28,20,215,1955,5,10,3,8,8
2897,84,2775,57,249,149,226,57,3400,0,7,9,6,4
2282,83,21,32,43,32,16,53,90,1,2,0,3,7
1154,83,59,3,106,20,10,92,106,3,2,0,4,6
1864,83,65,0,56,18,15,9,145,2,2,0,3,6
1115,83,72,0,59,30,13,8,165,1,1,0,3,7
3099,83,72,0,59,30,13,8,165,1,1,0,3,7
1787,83,94,3,52,6,19,0,174,1,1,1,3,2
2847,83,101,3,26,0,0,26,104,2,2,0,3,6
2905,83,120,10,94,5,5,3,233,1,2,0,4,5
1386,83,225,17,205,10,27,64,420,5,2,1,5,5
1928,83,333,62,126,57,62,113,525,2,4,2,5,3
2567,83,467,155,739,228,408,96,1901,1,4,3,5,2
2391,83,523,153,381,140,22,274,945,4,4,3,8,4
1725,83,680,58,798,306,69,89,1822,1,6,9,5,3
2053,83,1262,56,470,51,56,149,1745,3,9,2,9,6
1398,83,1360,79,721,0,51,292,1919,2,5,4,8,3
1585,83,1363,73,350,26,54,257,1610,3,5,3,12,5
2457,83,1363,73,350,26,54,257,1610,3,5,3,12,5
1642,83,1414,0,181,19,31,14,1630,4,7,2,9,6
1809,83,1922,63,914,163,125,125,3061,1,8,9,4,4
1449,83,1974,63,1051,40,95,0,3222,1,2,8,9,1
1481,83,3171,0,731,104,80,39,4048,1,4,9,4,6
1914,82,5,20,15,39,44,35,89,1,1,0,3,8
2668,82,5,31,10,41,10,61,36,1,1,0,2,7
1351,82,8,12,83,25,46,37,137,2,2,0,3,7
2695,82,13,13,7,20,7,13,47,1,1,0,2,8
2228,82,42,0,17,0,0,14,45,1,0,1,2,5
2446,82,43,16,48,101,21,117,112,3,1,1,3,6
2779,82,58,0,16,0,0,36,39,2,1,1,2,7
3212,82,64,8,-69,19,3,61,101,3,3,1,2,9
2892,82,87,0,57,0,8,26,125,2,3,0,3,6
2498,82,124,22,77,40,15,29,248,1,2,1,3,6
2768,82,124,22,77,40,15,29,248,1,2,1,3,6
2429,82,129,0,59,0,0,10,178,1,2,0,3,7
3197,82,242,30,262,71,10,232,383,3,3,1,2,9
3009,82,385,101,322,98,35,507,434,1,6,2,3,8
1012,82,502,158,1242,582,290,78,2695,1,3,4,8,2
2920,82,830,109,1578,251,27,275,2519,2,3,4,10,3
1185,82,1167,38,1828,61,389,115,3369,1,4,6,6,2
2267,82,1271,0,66,17,0,11,1343,2,9,2,5,7
1905,82,1790,218,950,522,328,73,3736,1,11,4,10,5
1317,82,2279,28,547,0,0,58,2796,2,9,3,5,5
2033,82,3218,54,1909,355,0,436,5100,1,7,8,9,5
2151,81,0,0,16,24,24,63,0,1,1,0,2,5
3215,81,8,8,18,15,5,23,31,1000000,1,0,2,7
1306,81,12,12,27,23,8,35,47,1,1,0,2,7
3200,81,12,12,27,23,8,35,47,1,1,0,2,7
2739,81,28,6,39,94,78,61,183,2,2,1,3,6
2519,81,41,0,9,0,0,3,47,1,0,0,3,5
3042,81,63,12,59,8,4,43,102,1,1,0,3,7
2399,81,85,3,23,0,0,9,103,1,1,0,3,7
2205,81,247,4,64,12,8,24,311,4,2,1,4,5
2217,81,273,3,53,6,0,31,303,1,2,1,4,3
1187,81,301,3,248,22,3,248,329,6,5,1,3,8
1169,81,446,9,65,6,15,21,520,1,4,1,4,5
2532,81,521,6,137,19,6,59,630,7,4,2,4,8
2555,81,677,114,356,98,37,64,1218,1,7,2,7,7
2120,81,690,15,169,9,6,60,829,2,6,2,4,7
3188,81,735,84,240,30,131,60,1160,3,3,2,10,4
2683,81,745,0,315,455,247,132,1630,1,7,2,10,5
1781,81,863,13,416,94,71,42,1415,4,4,4,9,4
1652,81,1123,164,1150,215,137,27,2761,3,7,8,10,5
2985,81,1403,122,2227,430,81,206,4058,1,5,6,5,3
2881,81,1690,125,629,32,50,202,2324,4,6,11,7,5
1456,81,2056,22,345,30,22,22,2453,7,8,6,9,6
1876,81,2318,22,149,31,0,680,1840,2,8,10,5,6
1205,81,2360,35,915,92,105,35,3472,1,8,10,6,3
2003,81,2515,92,428,41,0,275,2800,7,11,3,4,7
1663,81,2779,329,943,430,329,282,4526,1,11,5,13,7
2172,81,3225,0,174,92,35,104,3421,4,7,4,10,4
1173,80,5,41,32,9,64,45,104,1,2,0,3,6
2743,80,5,41,32,9,64,45,104,1,2,0,3,6
1848,80,37,0,25,0,0,0,61,1,1,0,2,7
1931,80,50,0,60,9,18,50,87,1,2,0,3,4
3120,80,61,61,75,89,68,109,246,4,3,1,3,8
2640,80,72,27,68,51,10,31,198,1,2,0,3,7
2731,80,82,7,79,0,27,82,113,3,2,1,3,6
1580,80,83,62,93,36,5,67,212,1,2,0,3,7
2790,80,95,0,50,0,0,6,139,1,1,0,3,9
1384,80,96,4,105,0,33,29,209,4,2,1,3,6
2559,80,105,25,32,6,32,10,191,2,2,1,3,4
2772,80,109,11,113,11,8,34,218,2,3,0,3,6
3018,80,119,0,23,10,0,10,142,1,2,0,3,5
1844,80,165,125,247,301,147,237,749,6,4,1,6,7
2068,80,332,59,225,232,118,177,788,0,9,9,4,5
1514,80,502,189,257,300,177,189,1236,4,4,3,8,5
3173,80,598,0,87,0,0,68,617,6,3,1,5,8
3019,80,617,137,236,181,126,428,868,8,4,3,6,7
2675,80,1021,332,902,0,119,475,1899,5,8,4,11,6
1378,80,1337,84,273,0,17,188,1523,3,5,3,12,3
3005,80,1525,109,531,0,42,89,2118,2,11,8,4,6
1184,80,1598,39,258,78,39,19,1992,1,7,3,12,3
3084,80,1858,70,381,63,23,143,2251,2,6,8,10,4
1550,80,1869,25,403,163,100,105,2455,4,4,2,9,8
2719,80,1927,19,169,0,0,41,2074,2,11,3,7,8
2269,80,2132,324,1855,302,93,463,4242,1,5,7,10,2
3031,80,2305,383,1075,48,0,75,3736,3,2,10,12,7
3090,79,20,0,20,0,0,25,15,1,1,0,2,7
2005,79,27,61,108,115,0,81,230,2,2,1,2,8
1315,79,46,5,31,15,0,21,77,1,1,0,2,8
2411,79,67,8,46,13,0,67,67,2,1,1,2,8
1759,79,77,3,33,0,3,12,103,2,1,0,3,3
1723,79,85,3,64,9,0,31,131,3,2,1,3,5
3020,79,150,23,329,13,83,143,455,3,4,1,4,6
1829,79,312,3,162,39,27,42,501,2,3,1,5,5
1084,79,384,26,111,11,0,20,512,1,2,2,5,2
1203,79,584,24,584,85,65,304,1038,6,8,1,5,8
1586,79,949,76,1231,168,178,128,2474,1,3,4,9,1
2091,79,1188,129,1034,198,76,37,2588,1,2,2,11,1
2345,79,1266,23,478,373,333,191,2282,1,6,3,6,3
1704,79,1424,396,1424,410,396,594,3456,1,5,6,4,3
2987,79,1845,87,1494,81,394,43,3859,1,7,7,9,2
1165,79,1857,145,261,189,195,243,2403,1,9,10,5,4
2455,79,2598,0,165,0,0,83,2681,2,7,5,13,5
1863,78,34,4,19,0,0,4,52,1,0,0,3,5
2093,78,34,0,11,0,0,0,45,1,1,0,2,5
1160,78,54,18,27,49,36,72,112,2,2,0,3,8
2580,78,56,5,98,9,9,14,164,2,2,0,3,7
1963,78,88,12,72,0,0,44,128,1,2,0,3,7
1912,78,98,29,86,51,29,105,187,1,1,1,4,3
1916,78,105,0,61,8,4,8,170,2,3,0,3,8
2051,78,105,0,61,8,4,8,170,2,3,0,3,8
